id,ovr,name,team,pos,bye_week
1,1,Ja'Marr Chase,CIN,WR,10
2,1,Zaire Franklin,IND,LB,11
3,2,Bijan Robinson,ATL,RB,5
4,2,Roquan Smith,BAL,LB,7
5,3,Saquon Barkley,PHI,RB,9
6,3,Zack Baun,PHI,LB,9
7,4,CeeDee Lamb,DAL,WR,10
8,4,Fred Warner,SF,LB,14
9,5,Jahmyr Gibbs,DET,RB,8
10,5,Maxx Crosby,LV,DL,8
11,6,Justin Jefferson,MIN,WR,6
12,6,Foyesade Oluokun,JAC,LB,8
13,7,Derrick Henry,BAL,RB,7
14,7,Myles Garrett,CLE,DL,9
15,8,Aidan Hutchinson,DET,DL,8
16,8,Nico Collins,HOU,WR,6
17,9,T.J. Edwards,CHI,LB,5
18,9,Brian Thomas Jr.,JAC,WR,8
19,10,Jamien Sherwood,NYJ,LB,9
20,10,Malik Nabers,NYG,WR,14
21,11,Ernest Jones IV,SEA,LB,8
22,11,Puka Nacua,LAR,WR,8
23,12,Amon-Ra St. Brown,DET,WR,8
24,12,Robert Spillane,NE,LB,14
25,13,Ashton Jeanty,LV,RB,8
26,13,Budda Baker,ARI,DB,8
27,14,Christian McCaffrey,SF,RB,14
28,14,Alex Singleton,DEN,LB,12
29,15,Drake London,ATL,WR,5
30,15,Terrel Bernard,BUF,LB,7
31,16,Nick Bosa,SF,DL,14
32,16,Jonathan Taylor,IND,RB,11
33,17,A.J. Brown,PHI,WR,9
34,17,Logan Wilson,CIN,LB,10
35,18,Brian Branch,DET,DB,8
36,18,Josh Jacobs,GB,RB,5
37,19,George Kittle,SF,TE,14
38,19,Blake Cashman,MIN,LB,6
39,20,Kyle Hamilton,BAL,DB,7
40,20,Brock Bowers,LV,TE,8
41,21,Bucky Irving,TB,RB,9
42,21,Bobby Wagner,WAS,LB,12
43,22,Ladd McConkey,LAC,WR,12
44,22,Kaden Elliss,ATL,LB,5
45,23,Kyren Williams,LAR,RB,8
46,23,Derwin James Jr.,LAC,DB,12
47,24,Jordyn Brooks,MIA,LB,12
48,24,De'Von Achane,MIA,RB,12
49,25,Daiyan Henley,LAC,LB,12
50,25,Josh Allen,BUF,QB,7
51,26,Antoine Winfield Jr.,TB,DB,9
52,26,Lamar Jackson,BAL,QB,7
53,27,Chase Brown,CIN,RB,10
54,27,Lavonte David,TB,LB,9
55,28,Edgerrin Cooper,GB,LB,5
56,28,Tee Higgins,CIN,WR,10
57,29,Mike Evans,TB,WR,9
58,29,Azeez Al-Shaair,HOU,LB,6
59,30,Jessie Bates III,ATL,DB,5
60,30,Trey McBride,ARI,TE,8
61,31,Jayden Daniels,WAS,QB,12
62,31,T.J. Watt,PIT,LB,5
63,32,James Cook,BUF,RB,7
64,32,Jack Campbell,DET,LB,8
65,33,Quay Walker,GB,LB,5
66,33,Jaxon Smith-Njigba,SEA,WR,8
67,34,Tyreek Hill,MIA,WR,12
68,34,Will Anderson Jr.,HOU,DL,6
69,35,Davante Adams,LAR,WR,8
70,35,Nick Bolton,KC,LB,10
71,36,Jalen Hurts,PHI,QB,9
72,36,Julian Love,SEA,DB,8
73,37,Micah Parsons,DAL,LB,10
74,37,Omarion Hampton,LAC,RB,12
75,38,Marvin Harrison Jr.,ARI,WR,8
76,38,Frankie Luvu,WAS,LB,12
77,39,Kenneth Walker III,SEA,RB,8
78,39,Jaquan Brisker,CHI,DB,5
79,40,Garrett Wilson,NYJ,WR,9
80,40,Tyler Nubin,NYG,DB,14
81,41,Terry McLaurin,WAS,WR,12
82,41,Quincy Williams,NYJ,LB,9
83,42,DK Metcalf,PIT,WR,5
84,42,Joshua Metellus,MIN,DB,6
85,43,Grant Delpit,CLE,DB,9
86,43,Chuba Hubbard,CAR,RB,14
87,44,Breece Hall,NYJ,RB,9
88,44,Carson Schwesinger,CLE,LB,9
89,45,Jeremy Chinn,LV,DB,8
90,45,Joe Burrow,CIN,QB,10
91,46,James Conner,ARI,RB,8
92,46,Bobby Okereke,NYG,LB,14
93,47,Kevin Byard III,CHI,DB,5
94,47,Courtland Sutton,DEN,WR,12
95,48,TreVeyon Henderson,NE,RB,14
96,48,DeShon Elliott,PIT,DB,5
97,49,Jameson Williams,DET,WR,8
98,49,Brandon Jones,DEN,DB,12
99,50,Xavier McKinney,GB,DB,5
100,50,Alvin Kamara,NO,RB,11
101,51,DJ Moore,CHI,WR,5
102,51,Patrick Queen,PIT,LB,5
103,52,Trey Hendrickson,CIN,DL,10
104,52,Xavier Worthy,KC,WR,10
105,53,Danielle Hunter,HOU,DL,6
106,53,Calvin Ridley,TEN,WR,10
107,54,Demario Davis,NO,LB,11
108,54,George Pickens,DAL,WR,10
109,55,Brian Burns,NYG,DL,14
110,55,Tetairoa McMillan,CAR,WR,14
111,56,David Montgomery,DET,RB,8
112,56,Jared Verse,LAR,DL,8
113,57,Jonathan Greenard,MIN,DL,6
114,57,DeVonta Smith,PHI,WR,9
115,58,Cody Barton,TEN,LB,10
116,58,D'Andre Swift,CHI,RB,5
117,59,Tyrel Dodson,MIA,LB,12
118,59,Zay Flowers,BAL,WR,7
119,60,Reed Blankenship,PHI,DB,9
120,60,Tony Pollard,TEN,RB,10
121,61,Sam LaPorta,DET,TE,8
122,61,Devin Lloyd,JAC,LB,8
123,62,RJ Harvey,DEN,RB,12
124,62,Nick Cross,IND,DB,11
125,63,Isiah Pacheco,KC,RB,10
126,63,Greg Rousseau,BUF,DL,7
127,64,Patrick Mahomes II,KC,QB,10
128,64,Alex Highsmith,PIT,LB,5
129,65,Jaylen Waddle,MIA,WR,12
130,65,Minkah Fitzpatrick,MIA,DB,12
131,66,Josh Hines-Allen,JAC,DL,8
132,66,Aaron Jones Sr.,MIN,RB,6
133,67,Baker Mayfield,TB,QB,9
134,67,Germaine Pratt,LV,LB,8
135,68,Mark Andrews,BAL,TE,7
136,68,Kyle Dugger,NE,DB,14
137,69,Bo Nix,DEN,QB,12
138,70,Tremaine Edmunds,CHI,LB,5
139,70,Kaleb Johnson,PIT,RB,5
140,71,Jalen Pitre,HOU,DB,6
141,71,T.J. Hockenson,MIN,TE,6
142,72,Devon Witherspoon,SEA,DB,8
143,72,Tyrone Tracy Jr.,NYG,RB,14
144,73,Travis Hunter,JAC,WR,8
145,73,Cam Bynum,IND,DB,11
146,74,Ricky Pearsall,SF,WR,14
147,74,Jalen Thompson,ARI,DB,8
148,75,Rome Odunze,CHI,WR,5
149,75,Andrew Van Ginkel,MIN,LB,6
150,76,DeForest Buckner,IND,DL,11
151,76,Kyler Murray,ARI,QB,8
152,77,Rashee Rice,KC,WR,10
153,77,Jordan Battle,CIN,DB,10
154,78,Travon Walker,JAC,DL,8
155,78,Dak Prescott,DAL,QB,10
156,79,Quentin Lake,LAR,DB,8
157,79,Chris Olave,NO,WR,11
158,80,Jack Sanborn,DAL,LB,10
159,80,Jordan Mason,MIN,RB,6
160,81,Jerry Jeudy,CLE,WR,9
161,81,Nik Bonitto,DEN,DL,12
162,82,Travis Kelce,KC,TE,10
163,82,Harold Landry III,NE,LB,14
164,83,Jeffery Simmons,TEN,DL,10
165,83,Emeka Egbuka,TB,WR,9
166,84,Kenneth Murray Jr.,DAL,LB,10
167,84,Jaylen Warren,PIT,RB,5
168,85,Deebo Samuel Sr.,WAS,WR,12
169,85,Alex Anzalone,DET,LB,8
170,86,Nate Landman,LAR,LB,8
171,86,Jordan Addison,MIN,WR,6
172,87,David Njoku,CLE,TE,9
173,87,Christian Rozeboom,CAR,LB,14
174,88,Jordan Hicks,FA,LB,-
175,88,Brock Purdy,SF,QB,14
176,89,Zach Allen,DEN,DL,12
177,89,Justin Fields,NYJ,QB,9
178,90,Dre Greenlaw,DEN,LB,12
179,90,Travis Etienne Jr.,JAC,RB,8
180,91,Josh Sweat,ARI,DL,8
181,91,Jayden Reed,GB,WR,5
182,92,Tre'von Moehrig,CAR,DB,14
183,92,Zach Charbonnet,SEA,RB,8
184,93,Harrison Smith,MIN,DB,6
185,93,Tucker Kraft,GB,TE,5
186,94,Talanoa Hufanga,DEN,DB,12
187,94,Justin Herbert,LAC,QB,12
188,95,Mack Wilson Sr.,ARI,LB,8
189,95,Jauan Jennings,SF,WR,14
190,96,Tank Bigsby,JAC,RB,8
191,96,Jaylon Carlies,IND,LB,11
192,97,Stefon Diggs,NE,WR,14
193,97,C.J. Mosley,FA,LB,-
194,98,Tyler Warren,IND,TE,11
195,98,Demetrius Knight Jr.,CIN,LB,10
196,99,Matthew Golden,GB,WR,5
197,99,E.J. Speed,HOU,LB,6
198,100,Jacory Croskey-Merritt,WAS,RB,12
199,100,Jevon Holland,NYG,DB,14
200,101,Tyrice Knight,SEA,LB,8
201,101,Caleb Williams,CHI,QB,5
202,102,Payton Wilson,PIT,LB,5
203,102,Drake Maye,NE,QB,14
204,103,Matt Milano,BUF,LB,7
205,103,Javonte Williams,DAL,RB,10
206,104,C.J. Gardner-Johnson,HOU,DB,6
207,104,Jakobi Meyers,LV,WR,8
208,105,Evan Engram,DEN,TE,12
209,105,Laiatu Latu,IND,DL,11
210,106,Jonathon Cooper,DEN,DL,12
211,106,Jared Goff,DET,QB,8
212,107,J.K. Dobbins,DEN,RB,12
213,107,Carl Granderson,NO,DL,11
214,108,Micah McFadden,NYG,LB,14
215,108,Rhamondre Stevenson,NE,RB,14
216,109,Elandon Roberts,LV,LB,8
217,109,Jordan Love,GB,QB,5
218,110,Leonard Williams,SEA,DL,8
219,110,Khalil Shakir,BUF,WR,7
220,111,Zach Sieler,MIA,DL,12
221,111,Trevor Lawrence,JAC,QB,8
222,112,Jeremiah Owusu-Koramoah,CLE,LB,9
223,112,Keon Coleman,BUF,WR,7
224,113,Cam Skattebo,NYG,RB,14
225,113,Kerby Joseph,DET,DB,8
226,114,C.J. Stroud,HOU,QB,6
227,114,Donovan Wilson,DAL,DB,10
228,115,Tykee Smith,TB,DB,9
229,115,Josh Downs,IND,WR,11
230,116,J.J. McCarthy,MIN,QB,6
231,116,Kenny Moore II,IND,DB,11
232,117,Dallas Goedert,PHI,TE,9
233,117,Khalil Mack,LAC,LB,12
234,118,Chris Godwin Jr.,TB,WR,9
235,118,Jihaad Campbell,PHI,LB,9
236,119,Josey Jewell,FA,LB,-
237,119,Cooper Kupp,SEA,WR,8
238,120,Justin Reid,NO,DB,11
239,120,Kyle Pitts Sr.,ATL,TE,5
240,121,Dexter Lawrence II,NYG,DL,14
241,121,Najee Harris,LAC,RB,12
242,122,Yaya Diaby,TB,DL,9
243,122,Dalton Kincaid,BUF,TE,7
244,123,Paulson Adebo,NYG,DB,14
245,123,Darnell Mooney,ATL,WR,5
246,124,Austin Ekeler,WAS,RB,12
247,124,Kobie Turner,LAR,DL,8
248,125,Ivan Pace Jr.,MIN,LB,6
249,125,Braelon Allen,NYJ,RB,9
250,126,Nolan Smith Jr.,PHI,DL,9
251,126,Michael Pittman Jr.,IND,WR,11
252,127,Trey Benson,ARI,RB,8
253,127,Kam Curl,LAR,DB,8
254,128,Rashid Shaheed,NO,WR,11
255,128,Kyler Gordon,CHI,DB,5
256,129,Quinshon Judkins,CLE,RB,9
257,129,Jermaine Johnson II,NYJ,DL,9
258,130,Trevin Wallace,CAR,LB,14
259,130,Brian Robinson Jr.,SF,RB,14
260,131,George Karlaftis III,KC,DL,10
261,131,Ray Davis,BUF,RB,7
262,132,Colston Loveland,CHI,TE,5
263,132,Tuli Tuipulotu,LAC,DL,12
264,133,Mike Sainristil,WAS,DB,12
265,133,Joe Mixon,HOU,RB,6
266,134,Amani Hooker,TEN,DB,10
267,134,Brandon Aiyuk,SF,WR,14
268,135,Byron Young,LAR,DL,8
269,135,Rachaad White,TB,RB,9
270,136,Nick Chubb,HOU,RB,6
271,136,Dee Winters,SF,LB,14
272,137,Tua Tagovailoa,MIA,QB,12
273,137,Alontae Taylor,NO,DB,11
274,138,Troy Reeder,LAR,LB,8
275,138,Tyler Allgeier,ATL,RB,5
276,139,Jake Ferguson,DAL,TE,10
277,139,Jerome Baker,CLE,LB,9
278,140,Devin White,LV,LB,8
279,140,Rashod Bateman,BAL,WR,7
280,141,Quinnen Williams,NYJ,DL,9
281,141,Christian Kirk,HOU,WR,6
282,142,Tyjae Spears,TEN,RB,10
283,142,Will Harris,WAS,DB,12
284,143,Bryce Young,CAR,QB,14
285,143,Abdul Carter,NYG,DL,14
286,144,Marvin Mims Jr.,DEN,WR,12
287,144,Chris Jones,KC,DL,10
288,145,Jaydon Blue,DAL,RB,10
289,145,Jaden Hicks,KC,DB,10
290,146,Cameron Heyward,PIT,DL,5
291,146,Michael Penix Jr.,ATL,QB,5
292,147,Drue Tranquill,KC,LB,10
293,147,Hunter Henry,NE,TE,14
294,148,SirVocea Dennis,TB,LB,9
295,148,Bhayshul Tuten,JAC,RB,8
296,149,Henry To'oTo'o,HOU,LB,6
297,149,Jerome Ford,CLE,RB,9
298,150,Omar Speights,LAR,LB,8
299,150,Dylan Sampson,CLE,RB,9
300,151,Jabrill Peppers,NE,DB,14
301,151,Luther Burden III,CHI,WR,5
302,152,Divine Deablo,ATL,LB,5
303,152,Cedric Tillman,CLE,WR,9
304,153,Taron Johnson,BUF,DB,7
305,153,Matthew Stafford,LAR,QB,8
306,154,Pete Werner,NO,LB,11
307,154,Geno Smith,LV,QB,8
308,155,Akeem Davis-Gaither,ARI,LB,8
309,155,Jayden Higgins,HOU,WR,6
310,156,Denver Broncos,DEN,DST,12
311,156,Nate Hobbs,GB,DB,5
312,157,Jonnu Smith,PIT,TE,5
313,157,Jalen Carter,PHI,DL,9
314,158,Zach Ertz,WAS,TE,12
315,158,Malaki Starks,BAL,DB,7
316,159,Derrick Brown,CAR,DL,14
317,159,Romeo Doubs,GB,WR,5
318,160,Isaiah Likely,BAL,TE,7
319,160,Chop Robinson,MIA,DL,12
320,161,Marquise Brown,KC,WR,10
321,161,Deommodore Lenoir,SF,DB,14
322,162,DaRon Bland,DAL,DB,10
323,162,Rico Dowdle,CAR,RB,14
324,163,Philadelphia Eagles,PHI,DST,9
325,163,Xavier Woods,TEN,DB,10
326,164,Keenan Allen,LAC,WR,12
327,164,Bradley Chubb,MIA,LB,12
328,165,Pittsburgh Steelers,PIT,DST,5
329,165,Trenton Simpson,BAL,LB,7
330,166,Tony Adams,NYJ,DB,9
331,166,Isaac Guerendo,SF,RB,14
332,167,Julian Blackmon,NO,DB,11
333,167,Tre' Harris,LAC,WR,12
334,168,Baltimore Ravens,BAL,DST,7
335,168,Will McDonald IV,NYJ,DL,9
336,169,Rayshawn Jenkins,CLE,DB,9
337,169,Adam Thielen,MIN,WR,6
338,170,Joshua Palmer,BUF,WR,7
339,170,Jalon Walker,ATL,LB,5
340,171,DeMario Douglas,NE,WR,14
341,171,Montez Sweat,CHI,DL,5
342,172,Kyle Williams,NE,WR,14
343,172,Cole Bishop,BUF,DB,7
344,173,Jaylen Wright,MIA,RB,12
345,173,Byron Murphy Jr.,MIN,DB,6
346,174,Rashan Gary,GB,LB,5
347,174,Minnesota Vikings,MIN,DST,6
348,175,Cam Ward,TEN,QB,10
349,175,Cedric Gray,TEN,LB,10
350,176,Sam Darnold,SEA,QB,8
351,176,Javon Bullard,GB,DB,5
352,177,Wan'Dale Robinson,NYG,WR,14
353,177,Dru Phillips,NYG,DB,14
354,178,Quentin Johnston,LAC,WR,12
355,178,Kayvon Thibodeaux,NYG,DL,14
356,179,Roschon Johnson,CHI,RB,5
357,179,Marist Liufau,DAL,LB,10
358,180,Denzel Perryman,LAC,LB,12
359,180,Ollie Gordon II,MIA,RB,12
360,181,Nnamdi Madubuike,BAL,DL,7
361,181,Xavier Legette,CAR,WR,14
362,182,Christian Harris,HOU,LB,6
363,182,Brenton Strange,JAC,TE,8
364,183,Blake Corum,LAR,RB,8
365,183,Calijah Kancey,TB,DL,9
366,184,Houston Texans,HOU,DST,6
367,184,Riley Moss,DEN,DB,12
368,185,Buffalo Bills,BUF,DST,7
369,185,Troy Andersen,ATL,LB,5
370,186,Odafe Oweh,BAL,DL,7
371,186,Brandon Aubrey,DAL,K,10
372,187,Kansas City Chiefs,KC,DST,10
373,187,Kyle Van Noy,BAL,LB,7
374,188,Boye Mafe,SEA,DL,8
375,188,Detroit Lions,DET,DST,8
376,189,Ashtyn Davis,MIA,DB,12
377,189,DeAndre Hopkins,BAL,WR,7
378,190,Nick Emmanwori,SEA,DB,8
379,190,Cameron Dicker,LAC,K,12
380,191,James Williams Sr.,TEN,DB,10
381,191,Jake Bates,DET,K,8
382,192,Cade Otton,TB,TE,9
383,192,Donovan Ezeiruaku,DAL,DL,10
384,193,Keion White,NE,DL,14
385,193,Jalen Coker,CAR,WR,14
386,194,Joey Bosa,BUF,DL,7
387,194,Seattle Seahawks,SEA,DST,8
388,195,Junior Colson,LAC,LB,12
389,195,Chig Okonkwo,TEN,TE,10
390,196,Kwity Paye,IND,DL,11
391,196,Los Angeles Rams,LAR,DST,8
392,197,Wil Lutz,DEN,K,12
393,198,Alec Pierce,IND,WR,11
394,199,Woody Marks,HOU,RB,6
395,200,Green Bay Packers,GB,DST,5
396,201,Los Angeles Chargers,LAC,DST,12
397,202,Ka'imi Fairbairn,HOU,K,6
398,203,Chase McLaughlin,TB,K,9
399,204,Kendre Miller,NO,RB,11
400,205,Will Shipley,PHI,RB,9
401,206,Mike Gesicki,CIN,TE,10
402,207,Chris Boswell,PIT,K,5
403,208,Chris Rodriguez Jr.,WAS,RB,12
404,209,Kyle Monangai,CHI,RB,5
405,210,Pat Freiermuth,PIT,TE,5
406,211,DJ Giddens,IND,RB,11
407,212,Harrison Butker,KC,K,10
408,213,New York Jets,NYJ,DST,9
409,214,Michael Wilson,ARI,WR,8
410,215,Evan McPherson,CIN,K,10
411,216,MarShawn Lloyd,GB,RB,5
412,217,Aaron Rodgers,PIT,QB,5
413,218,Darius Slayton,NYG,WR,14
414,219,Tyler Bass,BUF,K,7
415,220,Kareem Hunt,KC,RB,10
416,221,San Francisco 49ers,SF,DST,14
417,222,Keaton Mitchell,BAL,RB,7
418,223,Adonai Mitchell,IND,WR,11
419,224,Mason Taylor,NYJ,TE,9
420,225,Pat Bryant,DEN,WR,12
421,226,Jack Bech,LV,WR,8
422,227,Jake Elliott,PHI,K,9
423,228,Andrei Iosivas,CIN,WR,10
424,229,Dalton Schultz,HOU,TE,6
425,230,Justice Hill,BAL,RB,7
426,231,Jalen McMillan,TB,WR,9
427,232,Elic Ayomanor,TEN,WR,10
428,233,Calvin Austin III,PIT,WR,5
429,234,Jaylin Noel,HOU,WR,6
430,235,Dontayvion Wicks,GB,WR,5
431,236,Dameon Pierce,HOU,RB,6
432,237,Tahj Brooks,CIN,RB,10
433,238,Miles Sanders,DAL,RB,10
434,239,Jarquez Hunter,LAR,RB,8
435,240,Daniel Jones,IND,QB,11
436,241,Elijah Arroyo,SEA,TE,8
437,242,Matt Gay,WAS,K,12
438,243,Younghoe Koo,ATL,K,5
439,244,Juwan Johnson,NO,TE,11
440,245,Tyler Lockett,TEN,WR,10
441,246,Ja'Tavion Sanders,CAR,TE,14
442,247,Dallas Cowboys,DAL,DST,10
443,248,Devin Neal,NO,RB,11
444,249,Dyami Brown,JAC,WR,8
445,250,Sean Tucker,TB,RB,9
446,251,Russell Wilson,NYG,QB,14
447,252,Brashard Smith,KC,RB,10
448,253,Jason Sanders,MIA,K,12
449,254,Jalen Royals,KC,WR,10
450,255,Dont'e Thornton Jr.,LV,WR,8
451,256,Tampa Bay Buccaneers,TB,DST,9
452,257,Tory Horton,SEA,WR,8
453,258,Roman Wilson,PIT,WR,5
